"Method 1"  "Method 2"  "Method 3"  "Method 4"
2.63207     1.46513     0.497925    2.63207
1.05683     1.05683     0.749548    1.05683
1.37664     1.37664     5.13127     1.37664
0.694104    0.694104    1.56192     0.694104
1.45622     0.833612    3.61457     1.45622
2.79676     1.6069      4.24025     2.79676
2.70631     4.85347     8.97822     2.70631
1.77822     1.24939     4.23452     1.77822
1.17163     1.17163     3.73471     1.17163
2.26896     2.29182     2.60863     2.26896
2.22912     2.20785     3.5331      2.22912
2.71443     2.01645     2.71634     2.71443
3.11775     2.91985     2.30173     3.11775
2.08522     1.85349     2.82865     2.08522
1.3393      1.3393      1.40065     1.3393
5.00805     4.77913     5.466       5.00805
1.63818     1.63818     2.00334     1.63818
2.16899     2.67327     2.21123     2.16899
2.37055     2.61114     3.99739     2.37055
4.34999     3.92718     3.8459      4.34999
2.99606     3.44425     4.22731     2.99606
1.69627     1.53823     3.41441     1.69627
4.04788     1.69741     5.89796     4.04788
2.92679     3.74178     5.43413     2.92679
2.52582     2.54972     4.42359     2.52582
1.31204     1.02377     3.44689     1.31204
2.39651     1.80674     3.63466     2.39651
0.633935    2.98995     2.2907      0.633935
1.0822      2.38848     2.77823     1.0822
2.37795     2.49248     2.33954     2.37795
3.37295     3.59408     4.27422     2.04953
7.68301     1.45077     0.768055    1.85541
2.56648     2.61217     4.28639     2.56648
2.969       2.9572      2.92077     2.969
1.73177     1.91554     6.43933     1.73177
